Browser,Value,Percent
MSIE 1.2 (Macintosh),1,0.00%
MSIE 4.01 ( Windows 98),1,0.00%
MSIE 6.0 (Windows),1,0.00%
MSIE 6.0b (CS 2000 6.0; Windows 98; Win 9x 4.90),1,0.00%
MSIE 6.0b (MSNIA; Windows 98),1,0.00%
MSIE 6.0b (compatible; MSIE 6.0b;Mozilla/4.0; Windows 98; Ideenreich Browser; MSIE5.5),1,0.00%
MSIE 6.0b (compatible; MSIE 6.0b;Mozilla/4.0;Mozilla/5.0; Windows 98; Ideenreich Browser; MSIE5.5; Ideenreich Browser; MSIE6.0),1,0.00%
MSIE 6.5 (Linux Kernel 2.4.1),1,0.00%
MSIE.4.01 (compatible; MSIE.4.01; Windows NT),1,0.00%
MSIE/3.x (AOL 6.0; Windows 95),1,0.00%
MSIE/3.x (Unknown),1,0.00%
MSIE/4.x (,1,0.00%
MSIE/4.x (AOL 5.0; Windows 98),1,0.00%
MSIE/4.x (AOL 5.0; Windows 98; Hotbar 2.0),1,0.00%
MSIE/4.x (AOL 6.0; Windows 95,1,0.00%
MSIE/4.x (AOL 6.0; Windows 98),1,0.00%
MSIE/4.x (AOL 6.0; Windows NT),1,0.00%
MSIE/4.x (SunOS 5.6 sun4u; X11),1,0.00%
MSIE/5 (compatible; MSIE 5; Windows 95),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 95; DigExt; LTS8),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 95; DigExt; btclick.com Build BTCLICK99003),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 95; DigExt; btclick.com Build BTCLICK99003; sureseeker.com),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 95; DigExt; sureseeker.com),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 95; Snap.home.5; DigExt),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 95; tmobj; DigExt),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 98),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 98; DigExt; 5FM),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 98; DigExt; FREESERVE_IE5),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 98; DigExt; FS_IE5),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 98; DigExt; Hotbar 2.0),1,0.00%
MSIE/5.0 (AOL 5.0; Windows 98; DigExt; LifeServ),1,0.00%
MSIE/5.0 (AOL 5.0; Windows NT; DigExt),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 95; DigExt; CDv5_0699),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 95; DigExt; isp1367),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; ACS-192; FREEI v2.53),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; Compaq),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; Compaq; DigExt; Hotbar 2.0),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; AT&T CSM6.0),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; AT&T WNS5.0),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; AT&T WNS5.0; sureseeker.com),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; BCD2000),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; BellSouth.net),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; CDv5.1.1_1099),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; Diamond Multimedia SuperCD Browser Installation),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; FS_IE5; sureseeker.com),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; MSNIA),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; VNIE MESH_PC),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; VNIE4 3.1.814),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; VNIE5 RefIE5),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; from greatXscape network),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; DigExt; fs_pb_ie5),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; Madasafish),1,0.00%
MSIE/5.0 (AOL 6.0; Windows 98; SPINWAY.COM),1,0.00%
MSIE/5.0 (AOL 6.0;TargetAOL6.0; Windows 95; DigExt),1,0.00%
MSIE/5.0 (AOL 6.0;TargetAOL6.0; Windows 98; DigExt),1,0.00%
MSIE/5.0 (AOL 6.0;TargetAOL6.0; Windows 98; DigExt; AT&T WNS5.0),1,0.00%
MSIE/5.0 (AOL 6.0;TargetAOL6.0; Windows 98; DigExt; Creative),1,0.00%
MSIE/5.0 (CS 2000 6.0; Windows 98; Compaq; DigExt; Creative),1,0.00%
MSIE/5.0 (CS 2000 6.0; Windows 98; DigExt; BCD2000),1,0.00%
MSIE/5.0 (MSNIA; AOL 6.0; Windows 98; DigExt; AT&T WNS5.0),1,0.00%
MSIE/5.0 (MSNIA; Windows 98; Compaq; DigExt; Conversa Web 3.0.5; Conversa Web 3.0.7; Conversa Web 3.1.0),1,0.00%
MSIE/5.0 (MSNIA; Windows 98; DigExt; BellSouth.net; Katiesoft 7),1,0.00%
MSIE/5.0 (MSNIA; Windows 98; DigExt; PeoplePC 1.0; ISP),1,0.00%
MSIE/5.0 (MSNIA; Windows 98; DigExt; sureseeker.com),1,0.00%
MSIE/5.0 (MSNIA; Windows 98; DigExt; sureseeker.com; HomePage),1,0.00%
MSIE/5.0 (MSNIA; Windows 98; Yahoo-1.0; DigExt),1,0.00%
MSIE/5.0 (SunOS 5.6 sun4u; X11),1,0.00%
"MSIE/5.0, Mac_PowerPC (compatible; MSIE 5.0, Mac_PowerPC)",1,0.00%
MSIE/5.01 (0102098b),1,0.00%
MSIE/5.01 (605E21E4-EBAD-4dd5-AD79-BD044A4C1FE4),1,0.00%
MSIE/5.01 (AOL 3.0; Windows 95),1,0.00%
MSIE/5.01 (AOL 4.0; Windows 95),1,0.00%
MSIE/5.01 (AOL 5.0; Windows 95; AT&T CSM 6.0),1,0.00%
MSIE/5.01 (AOL 5.0; Windows 98; UTVI),1,0.00%
MSIE/5.01 (AOL 5.0; Windows 98; fs_ie5_04_2000i),1,0.00%
MSIE/5.01 (AOL 5.0; Windows NT 5.0),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; CDv5.3_WhatPC_0100),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; CDv5_0699),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; Compaq),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; PKBL008; TalkGas),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; WHSmith Online V1.14),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; btclick.com Build BTCFUNFD1),1,0.00%
MSIE/5.01 (AOL 6.0; Windows 98; tco2),1,0.00%
MSIE/5.01 (MSNIA; AOL 5.0; Windows 98; MSNIA),1,0.00%
MSIE/5.01 (MSNIA; AOL 6.0; Windows 98; MSNIA),1,0.00%
MSIE/5.01 (MSNIA; Windows 95; MSNIA; KATIESOFT 6.0),1,0.00%
MSIE/5.01 (MSNIA; Windows 98; AIRF),1,0.00%
MSIE/5.01 (MSNIA; Windows 98; BTinternet CD v7.0),1,0.00%
MSIE/5.01 (MSNIA; Windows 98; Compaq; MSNIA),1,0.00%
MSIE/5.01 (MSNIA; Windows 98; Hotbar 2.0),1,0.00%
MSIE/5.01 (MSNIA; Windows 98; MSN 6.0),1,0.00%
MSIE/5.01 (MSNIA; Windows 98; SPINWAY),1,0.00%
MSIE/5.01 (MSNIA; Windows NT 5.0; AT&T WNS5.0; AT&T WNS5.2; AT&T WNS5.0 IE5.0.01; AT&T CSM6.0),1,0.00%
MSIE/5.01 (MSNIA; Windows NT 5.0; PeoplePC 1.0; ISP),1,0.00%
MSIE/5.01 (PalmOS 3.0),1,0.00%
MSIE/5.01 (Roma),1,0.00%
MSIE/5.01 (Schweiz),1,0.00%
MSIE/5.01 (Whatever; Windows NT 5.0; You want Me To Be),1,0.00%
MSIE/5.01 (Windows 95;,1,0.00%
MSIE/5.01 (Windows NT 5.0; from,1,0.00%
MSIE/5.01 (compatible; MSIE 5.01),1,0.00%
MSIE/5.02 (Windows),1,0.00%
MSIE/5.0CS2000 (compatible; MSIE 5.0CS2000; Gateway.net; Windows 98),1,0.00%
MSIE/5.0b1 (Windows),1,0.00%
MSIE/5.5 (,1,0.00%
MSIE/5.5 (09-99),1,0.00%
MSIE/5.5 (AOL 4.0; Windows 95),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 95; AtHome020),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 95; surfEU DE S3),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; BCD2000),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; BTinternet CD v7.0),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; FREESERVE_IE5),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; QXW0334k),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; QXW0335p),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; UKPORTAL),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; Win 9x 4.90; BTinternet CD v7.0),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; Win 9x 4.90; VNIE MESH_PC),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; Win 9x 4.90; Virgo Genie V 1.0),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; Win 9x 4.90; btclick.com Build BTCFMFQ3),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; Win 9x 4.90; fs_ie5_04_2000_preload),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; Win 9x 4.90; surfEU DE M2),1,0.00%
MSIE/5.5 (AOL 5.0; Windows 98; {Cablevision Optimum Online}),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 95; MSOCD),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; DigExt; JUNO),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; Hotbar 2.0; SPINWAY.COM),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; IDv5a-b5),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; Katiesoft 7),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; VNIE5),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; Win 9x 4.90; AT&T CSM6.0),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; Win 9x 4.90; AT&T WNS5.0; AT&T CSM6.0),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; Win 9x 4.90; DigExt),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; formatpb),1,0.00%
MSIE/5.5 (AOL 6.0; Windows 98; freeserve_IE4),1,0.00%
MSIE/5.5 (AOL 6.0;TargetAOL6.0; Windows 98),1,0.00%
MSIE/5.5 (AOL 6.0;TargetAOL6.0; Windows 98; Win 9x 4.90),1,0.00%
MSIE/5.5 (CS 2000 6.0; Windows 95),1,0.00%
MSIE/5.5 (French Canadian),1,0.00%
MSIE/5.5 (Ho ho ho......; Windows 98; Whoooosh...........),1,0.00%
MSIE/5.5 (IEPZv2.0; Windows 98; ACCD Software; AtHome020),1,0.00%
MSIE/5.5 (IEPZv3.0; NOYB; Windows NT 4.0; Access Codes Software; SNOYB),1,0.00%
MSIE/5.5 (LMC),1,0.00%
MSIE/5.5 (MSNIA; AOL 5.0; Windows 98),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; AMEX IE),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; AT&T WNS5.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; AT&T WNS5.2),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; BCD2000),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Compaq),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; DigExt),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; JetHomePage.com; Hotbar 2.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Katiesoft 7; AIRF; Hot Lingo 2.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; MSNIA; Hotbar 2.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; MSNIA; MSOCD),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; MSNIA; sureseeker.com),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; VZ_IE5),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; AIRF),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; AT&T CSM6.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; AT&T WNS5.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; AtHome020),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; CT2),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; Hotbar 2.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; MSNIA; Hotbar 2.0),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; STARLOVE),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; Win 9x 4.90; ZDNetIE55),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; ZDNetIE55),1,0.00%
MSIE/5.5 (MSNIA; Windows 98; sureseeker.com; MSOCD; AtHome020),1,0.00%
MSIE/5.5 (MSNIA; Windows NT 4.0),1,0.00%
MSIE/5.5 (MSNIA; Windows NT 5.0; COM+ 1.0.2204),1,0.00%
MSIE/5.5 (MSNIA; Windows NT 5.0; Hotbar 2.0),1,0.00%
MSIE/5.5 (RUBBISH; Windows 95),1,0.00%
MSIE/5.5 (Roma),1,0.00%
